DIAGNOSIS CODE,LONG DESCRIPTION,SHORT DESCRIPTION
83917,"Open dislocation, seventh cervical vertebra",Disloc 7th cerv vert-opn
83918,"Open dislocation, multiple cervical vertebrae",Disloc mlt cerv vert-opn
83920,"Closed dislocation, lumbar vertebra",Dislocat lumbar vert-cl
83921,"Closed dislocation, thoracic vertebra",Disloc thoracic vert-cl
83930,"Open dislocation, lumbar vertebra",Dislocat lumbar vert-opn
83931,"Open dislocation, thoracic vertebra",Disloc thoracic vert-opn
83940,"Closed dislocation, vertebra, unspecified site",Dislocat vertebra NOS-cl
83941,"Closed dislocation, coccyx",Dislocat coccyx-closed
83942,"Closed dislocation, sacrum",Dislocat sacrum-closed
83949,"Closed dislocation, vertebra, other",Dislocat vertebra NEC-cl
83950,"Open dislocation, vertebra, unspecified site",Disloc vertebra NOS-open
83951,"Open dislocation, coccyx",Dislocat coccyx-open
83952,"Open dislocation, sacrum",Dislocat sacrum-open
83959,"Open dislocation, vertebra,other",Disloc vertebra NEC-open
83961,"Closed dislocation, sternum",Dislocat sternum-closed
83969,"Closed dislocation, other location",Dislocat site NEC-closed
83971,"Open dislocation, sternum",Dislocation sternum-open
83979,"Open dislocation, other location",Dislocat site NEC-open
8398,"Closed dislocation, multiple and ill-defined sites",Dislocation NEC-closed
8399,"Open dislocation, multiple and ill-defined sites",Dislocation NEC-open
8400,Acromioclavicular (joint) (ligament) sprain,Sprain acromioclavicular
8401,Coracoclavicular (ligament) sprain,Sprain coracoclavicular
8402,Coracohumeral (ligament) sprain,Sprain coracohumeral
8403,Infraspinatus (muscle) (tendon) sprain,Sprain infraspinatus
8404,Rotator cuff (capsule) sprain,Sprain rotator cuff
8405,Subscapularis (muscle) sprain,Sprain subscapularis
8406,Supraspinatus (muscle) (tendon) sprain,Sprain supraspinatus
8407,Superior glenoid labrum lesion,Sup glenoid labrm lesion
8408,Sprains and strains of other specified sites of shoulder and upper arm,Sprain shoulder/arm NEC
8409,Sprains and strains of unspecified site of shoulder and upper arm,Sprain shoulder/arm NOS
8410,Radial collateral ligament sprain,Sprain radial collat lig
8411,Ulnar collateral ligament sprain,Sprain ulnar collat lig
8412,Radiohumeral (joint) sprain,Sprain radiohumeral
8413,Ulnohumeral (joint) sprain,Sprain ulnohumeral
8418,Sprains and strains of other specified sites of elbow and forearm,Sprain elbow/forearm NEC
8419,Sprains and strains of unspecified site of elbow and forearm,Sprain elbow/forearm NOS
84200,"Sprain of wrist, unspecified site ",Sprain of wrist NOS
84201,Sprain of carpal (joint) of wrist,Sprain carpal
84202,Sprain of radiocarpal (joint) (ligament) of wrist,Sprain radiocarpal
84209,Other sprains and strains of wrist,Sprain of wrist NEC
84210,"Sprain of hand, unspecified site ",Sprain of hand NOS
84211,Sprain of carpometacarpal (joint) of hand,Sprain carpometacarpal
84212,Sprain of metacarpophalangeal (joint) of hand,Sprain metacarpophalang
84213,Sprain of interphalangeal (joint) of hand,Sprain interphalangeal
84219,Other sprains and strains of hand,Sprain of hand NEC
8430,Iliofemoral (ligament) sprain,Sprain iliofemoral
8431,Ischiocapsular (ligament) sprain,Sprain ischiocapsular
8438,Sprains and strains of other specified sites of hip and thigh,Sprain hip & thigh NEC
8439,Sprains and strains of unspecified site of hip and thigh,Sprain hip & thigh NOS
8440,Sprain of lateral collateral ligament of knee,Sprain lateral coll lig
8441,Sprain of medial collateral ligament of knee,Sprain medial collat lig
8442,Sprain of cruciate ligament of knee,Sprain cruciate lig knee
8443,"Sprain of tibiofibular (joint) (ligament) superior, of knee",Sprain super tibiofibula
8448,Sprains and strains of other specified sites of knee and leg,Sprain of knee & leg NEC
8449,Sprains and strains of unspecified site of knee and leg,Sprain of knee & leg NOS
84500,"Sprain of ankle, unspecified site",Sprain of ankle NOS
84501,"Sprain of deltoid (ligament), ankle ",Sprain of ankle deltoid
84502,Sprain of calcaneofibular (ligament) of ankle,Sprain calcaneofibular
84503,"Sprain of tibiofibular (ligament), distal of ankle",Sprain distal tibiofibul
84509,Other sprains and strains of ankle,Sprain of ankle NEC
84510,"Sprain of foot, unspecified site  ",Sprain of foot NOS
84511,Sprainof tarsometatarsal (joint) (ligament) of foot ,Sprain tarsometatarsal
84512, Sprain of metatarsaophalangeal (joint) of foot,Sprain metatarsophalang
84513,"Sprain of interphalangeal (joint), toe ",Sprain interphalang toe
84519,Other sprain of foot ,Sprain of foot NEC
8460,Sprain of lumbosacral (joint) (ligament) ,Sprain lumbosacral
8461,Sprain of sacroiliac ligament,Sprain sacroiliac
8462, Sprain of sacrospinatus (ligament),Sprain sacrospinatus
8463,Sprain of sacrotuberous (ligament) ,Sprain sacrotuberous
8468,Sprain of other specified sites of sacroiliac region,Sprain sacroiliac NEC
8469,Sprain of unspecified site of sacroiliac region ,Sprain sacroiliac NOS
8470,Sprain of neck ,Sprain of neck
8471,Sprain of thoracic ,Sprain thoracic region
8472,Sprain of lumbar ,Sprain lumbar region
8473,Sprain of sacrum,Sprain of sacrum
8474,Sprain of coccyx,Sprain of coccyx
8479,Sprain of unspecified site of back,Sprain of back NOS
8480,Sprain of septal cartilage of nose,Sprain of nasal septum
8481,Sprain of jaw ,Sprain of jaw
8482,Sprain of thyroid region ,Sprain of thyroid region
8483,Sprain of ribs,Sprain of ribs
84840,"Sprain of sternum , unspecified site",Sprain of sternum NOS
84841,Sprain of sternoclavicular (joint) (ligament) ,Sprain sternoclavicular
84842,Sprain of chondrosternal (joint) ,Sprain chondrosternal
84849,"Sprain of sternum, other",Sprain of sternum NEC
8485,Sprain of pelvic ,Sprain of pelvis
8488,Other specified sites of sprains and strains,Sprain NEC
8489,Unspecified site of sprain and strain,Sprain NOS
8500,Concussion with no loss of consciousness,Concussion w/o coma
85011,"Concussion, with loss of consciousness of 30 minutes or less",Concus-brief coma <31 mn
85012,"Concussion, with loss of consciousness from 31 to 59 minutes",Concus-brf coma 31-59 mn
8502,Concussion with moderate loss of consciousness,Concussion-moderate coma
8503,Concussion with prolonged loss of consciousness and return to pre-existing conscious level,Concussion-prolong coma
8504,"Concussion with prolonged loss of consciousness, without return to pre-existing conscious level",Concussion-deep coma
8505,Concussion with loss of consciousness of unspecified duration,Concussion w coma NOS
8509,"Concussion, unspecified",Concussion NOS
85100,"Cortex (cerebral) contusion without mention of open intracranial wound, unspecified state of consciousness ",Cerebral cortx contusion
85101,"Cortex (cerebral) contusion without mention of open intracranial wound, with no loss of consciousness",Cortex contusion-no coma
85102,"Cortex (cerebral) contusion without mention of open intracranial wound, with brief [less than one hour] loss of consciousness",Cortex contus-brief coma
85103,"Cortex (cerebral) contusion without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness",Cortex contus-mod coma
85104,"Cortex (cerebral) contusion without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-exisiting conscious level",Cortx contus-prolng coma
85105,"Cortex (cerebral) contusion without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Cortex contus-deep coma
85106,"Cortex (cerebral) contusion without mention of open intracranial wound, with loss of consciousness of unspecified duration",Cortex contus-coma NOS
85109,"Cortex (cerebral) contusion without mention of open intracranial wound, with concussion, unspecified",Cortex contus-concus NOS
85110,"Cortex (cerebral) contusion with open intracranial wound, unspecified state of consciousness",Cortex contusion/opn wnd
85111,"Cortex (cerebral) contusion with open intracranial wound, with no loss of consciousness",Opn cortx contus-no coma
85112,"Cortex (cerebral) contusion with open intracranial wound, with brief [less than one hour] loss of consciousness",Opn cort contus-brf coma
85113,"Cortex (cerebral) contusion with open intracranial wound, with moderate [1-24 hours] loss of consciousness",Opn cort contus-mod coma
85114,"Cortex (cerebral) contusion with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Opn cort contu-prol coma
85115,"Cortex (cerebral) contusion with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Opn cort contu-deep coma
85116,"Cortex (cerebral) contusion with open intracranial wound, with loss of consciousness of unspecified duration",Opn cort contus-coma NOS
85119,"Cortex (cerebral) contusion with open intracranial wound, with concussion, unspecified",Opn cortx contus-concuss
85120,"Cortex (cerebral) laceration without mention of open intracranial wound, unspecified state of consciousness ",Cerebral cortex lacerat
85121,"Cortex (cerebral) laceration without mention of open intracranial wound, with no loss of consciousness",Cortex lacerat w/o coma
85122,"Cortex (cerebral) laceration without mention of open intracranial wound, with brief [less than one hour] loss of consciousness",Cortex lacera-brief coma
85123,"Cortex (cerebral) laceration without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness",Cortex lacerat-mod coma
85124,"Cortex (cerebral) laceration without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Cortex lacerat-prol coma
85125,"Cortex (cerebral) laceration without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Cortex lacerat-deep coma
85126,"Cortex (cerebral) laceration without mention of open intracranial wound, with loss of consciousness of unspecified duration",Cortex lacerat-coma NOS
85129,"Cortex (cerebral) laceration without mention of open intracranial wound, with concussion, unspecified",Cortex lacerat-concuss
85130,"Cortex (cerebral) laceration with open intracranial wound, unspecified state of consciousness ",Cortex lacer w opn wound
85131,"Cortex (cerebral) laceration with open intracranial wound, with no loss of consciousness",Opn cortex lacer-no coma
85132,"Cortex (cerebral) laceration with open intracranial wound, with brief [less than one hour] loss of consciousness",Opn cortx lac-brief coma
85133,"Cortex (cerebral) laceration with open intracranial wound, with moderate [1-24 hours] loss of consciousness",Opn cortx lacer-mod coma
85134,"Cortex (cerebral) laceration with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Opn cortx lac-proln coma
85135,"Cortex (cerebral) laceration with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Opn cortex lac-deep coma
85136,"Cortex (cerebral) laceration with open intracranial wound, with loss of consciousness of unspecified duration",Opn cortx lacer-coma NOS
85139,"Cortex (cerebral) laceration with open intracranial wound, with concussion, unspecified",Opn cortx lacer-concuss
85140,"Cerebellar or brain stem contusion without mention of open intracranial wound, unspecified state of consciousness ",Cerebel/brain stm contus
85141,"Cerebellar or brain stem contusion without mention of open intracranial wound, with no loss of consciousness",Cerebell contus w/o coma
85142,"Cerebellar or brain stem contusion without mention of open intracranial wound, with brief [less than one hour] loss of consciousness",Cerebell contus-brf coma
85143,"Cerebellar or brain stem contusion without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness",Cerebell contus-mod coma
85144,"Cerebellar or brain stem contusion without mention of open intracranial wound, with prolonged [more than 24 hours] loss consciousness and return to pre-existing conscious level",Cerebel contus-prol coma
85145,"Cerebellar or brain stem contusion without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Cerebel contus-deep coma
85146,"Cerebellar or brain stem contusion without mention of open intracranial wound, with loss of consciousness of unspecified duration",Cerebell contus-coma NOS
85149,"Cerebellar or brain stem contusion without mention of open intracranial wound, with concussion, unspecified",Cerebell contus-concuss
85150,"Cerebellar or brain stem contusion with open intracranial wound, unspecified state of consciousness ",Cerebel contus w opn wnd
85151,"Cerebellar or brain stem contusion with open intracranial wound, with no loss of consciousness",Opn cerebe cont w/o coma
85152,"Cerebellar or brain stem contusion with open intracranial wound, with brief [less than one hour] loss of consciousness",Opn cerebe cont-brf coma
85153,"Cerebellar or brain stem contusion with open intracranial wound, with moderate [1-24 hours] loss of consciousness",Opn cerebe cont-mod coma
85154,"Cerebellar or brain stem contusion with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Opn cerebe cont-prol com
85155,"Cerebellar or brain stem contusion with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Opn cerebe cont-deep com
85156,"Cerebellar or brain stem contusion with open intracranial wound, with loss of consciousness of unspecified duration",Opn cerebe cont-coma NOS
85159,"Cerebellar or brain stem contusion with open intracranial wound, with concussion, unspecified",Opn cerebel cont-concuss
85160,"Cerebellar or brain stem laceration without mention of open intracranial wound, unspecified state of consciousness ",Cerebel/brain stem lacer
85161,"Cerebellar or brain stem laceration without mention of open intracranial wound, with no loss of consciousness",Cerebel lacerat w/o coma
85162,"Cerebellar or brain stem laceration without mention of open intracranial wound, with brief [less than 1 hour] loss of consciousness",Cerebel lacer-brief coma
85163,"Cerebellar or brain stem laceration without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness",Cerebel lacerat-mod coma
85164,"Cerebellar or brain stem laceration without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Cerebel lacer-proln coma
85165,"Cerebellar or brain stem laceration without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Cerebell lacer-deep coma
85166,"Cerebellar or brain stem laceration without mention of open intracranial wound, with loss of consciousness of unspecified duration",Cerebel lacerat-coma NOS
85169,"Cerebellar or brain stem laceration without mention of open intracranial wound, with concussion, unspecified",Cerebel lacer-concussion
85170,"Cerebellar or brain stem laceration with open intracranial wound, unspecified state of consciousness ",Cerebel lacer w open wnd
85171,"Cerebellar or brain stem laceration with open intracranial wound, with no loss of consciousness",Opn cerebel lac w/o coma
85172,"Cerebellar or brain stem laceration with open intracranial wound, with brief [less than one hour] loss of consciousness",Opn cerebel lac-brf coma
85173,"Cerebellar or brain stem laceration with open intracranial wound, with moderate [1-24 hours] loss of consciousness",Opn cerebel lac-mod coma
85174,"Cerebellar or brain stem laceration with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Opn cerebe lac-prol coma
85175,"Cerebellar or brain stem laceration with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Opn cerebe lac-deep coma
85176,"Cerebellar or brain stem laceration with open intracranial wound, with loss of consciousness of unspecified duration",Opn cerebel lac-coma NOS
85179,"Cerebellar or brain stem laceration with open intracranial wound, with concussion, unspecified",Opn cerebell lac-concuss
85180,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, unspecified state of consciousness ",Brain laceration NEC
85181,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with no loss of consciousness",Brain lacer NEC w/o coma
85182,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with brief [less than one hour] loss of consciousness",Brain lac NEC-brief coma
85183,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness",Brain lacer NEC-mod coma
85184,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre- existing conscious level",Brain lac NEC-proln coma
85185,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Brain lac NEC-deep coma
85186,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with loss of consciousness of unspecified duration",Brain lacer NEC-coma NOS
85189,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with concussion, unspecified",Brain lacer NEC-concuss
85190,"Other and unspecified cerebral laceration and contusion, with open intracranial wound, unspecified state of consciousness ",Brain lac NEC w open wnd
85191,"Other and unspecified cerebral laceration and contusion, with open intracranial wound, with no loss of consciousness",Opn brain lacer w/o coma
85192,"Other and unspecified cerebral laceration and contusion, with open intracranial wound, with brief [less than one hour] loss of consciousness",Opn brain lac-brief coma
85193,"Other and unspecified cerebral laceration and contusion, with open intracranial wound, with moderate [1-24 hours] loss of consciousness",Opn brain lacer-mod coma
85194,"Other and unspecified cerebral laceration and contusion, with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Opn brain lac-proln coma
85195,"Other and unspecified cerebral laceration and contusion, with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Open brain lac-deep coma
85196,"Other and unspecified cerebral laceration and contusion, with open intracranial wound, with loss of consciousness of unspecified duration",Opn brain lacer-coma NOS
85199,"Other and unspecified cerebral laceration and contusion, with open intracranial wound, with concussion, unspecified",Open brain lacer-concuss
85200,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness ",Traum subarachnoid hem
85201,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness",Subarachnoid hem-no coma
85202,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with brief [less than one hour] loss of consciousness",Subarach hem-brief coma
85203,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness",Subarach hem-mod coma
85204,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Subarach hem-prolng coma
85205,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Subarach hem-deep coma
85206,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with loss of consciousness of unspecified duration",Subarach hem-coma NOS
85209,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with concussion, unspecified",Subarach hem-concussion
85210,"Subarachnoid hemorrhage following injury with open intracranial wound, unspecified state of consciousness ",Subarach hem w opn wound
85211,"Subarachnoid hemorrhage following injury with open intracranial wound, with no loss of consciousness",Opn subarach hem-no coma
85212,"Subarachnoid hemorrhage following injury with open intracranial wound, with brief [less than one hour] loss of consciousness",Op subarach hem-brf coma
85213,"Subarachnoid hemorrhage following injury with open intracranial wound, with moderate [1-24 hours] loss of consciousness",Op subarach hem-mod coma
85214,"Subarachnoid hemorrhage following injury with open intracranial wound, with prolonged [more than 24 hours) loss of consciousness and return to pre-existing conscious level",Op subarach hem-prol com
85215,"Subarachnoid hemorrhage following injury with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Op subarach hem-deep com
85216,"Subarachnoid hemorrhage following injury with open intracranial wound, with loss of consciousness of unspecified duration",Op subarach hem-coma NOS
85219,"Subarachnoid hemorrhage following injury with open intracranial wound, with concussion, unspecified",Opn subarach hem-concuss
85220,"Subdural hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness ",Traumatic subdural hem
85221,"Subdural hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness",Subdural hem w/o coma
85222,"Subdural hemorrhage following injury without mention of open intracranial wound, with brief [less than one hour] loss of consciousness",Subdural hem-brief coma
85223,"Subdural hemorrhage following injury without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness",Subdural hemorr-mod coma
85224,"Subdural hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Subdural hem-prolng coma
85225,"Subdural hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Subdural hem-deep coma
85226,"Subdural hemorrhage following injury without mention of open intracranial wound, with loss of consciousness of unspecified duration",Subdural hemorr-coma NOS
85229,"Subdural hemorrhage following injury without mention of open intracranial wound, with concussion, unspecified",Subdural hem-concussion
85230,"Subdural hemorrhage following injury with open intracranial wound, unspecified state of consciousness ",Subdural hem w opn wound
85231,"Subdural hemorrhage following injury with open intracranial wound, with no loss of consciousness",Open subdur hem w/o coma
85232,"Subdural hemorrhage following injury with open intracranial wound, with brief [less than one hour] loss of consciousness",Opn subdur hem-brf coma
85233,"Subdural hemorrhage following injury with open intracranial wound, with moderate [1-24 hours] loss of consciousness",Opn subdur hem-mod coma
85234,"Subdural hemorrhage following injury with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Opn subdur hem-prol coma
85235,"Subdural hemorrhage following injury with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Opn subdur hem-deep coma
85236,"Subdural hemorrhage following injury with open intracranial wound, with loss of consciousness of unspecified duration",Opn subdur hem-coma NOS
85239,"Subdural hemorrhage following injury with open intracranial wound, with concussion, unspecified",Opn subdur hem-concuss
85240,"Extradural hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness ",Traumatic extradural hem
85241,"Extradural hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness",Extradural hem w/o coma
85242,"Extradural hemorrhage following injury without mention of open intracranial wound, with brief [less than 1 hour] loss of consciousness",Extradur hem-brief coma
85243,"Extradural hemorrhage following injury without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness",Extradural hem-mod coma
85244,"Extradural hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Extradur hem-proln coma
85245,"Extradural hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Extradural hem-deep coma
85246,"Extradural hemorrhage following injury without mention of open intracranial wound, with loss of consciousness of unspecified duration",Extradural hem-coma NOS
85249,"Extradural hemorrhage following injury without mention of open intracranial wound, with concussion, unspecified",Extadural hem-concuss
85250,"Extradural hemorrhage following injury with open intracranial wound, unspecified state of consciousness ",Extradural hem w opn wnd
85251,"Extradural hemorrhage following injury with open intracranial wound, with no loss of consciousness",Extradural hemor-no coma
85252,"Extradural hemorrhage following injury with open intracranial wound, with brief [less than one hour] loss of consciousness",Extradur hem-brief coma
85253,"Extradural hemorrhage following injury with open intracranial wound, with moderate [1-24 hours] loss of consciousness",Extradural hem-mod coma
85254,"Extradural hemorrhage following injury with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Extradur hem-proln coma
85255,"Extradural hemorrhage following injury with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Extradur hem-deep coma
85256,"Extradural hemorrhage following injury with open intracranial wound, with loss of consciousness of unspecified duration",Extradural hem-coma NOS
85259,"Extradural hemorrhage following injury with open intracranial wound, with concussion, unspecified",Extradural hem-concuss
85300,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness ",Traumatic brain hem NEC
85301,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness",Brain hem NEC w/o coma
85302,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with brief [less than one hour] loss of consciousness",Brain hem NEC-brief coma
85303,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness",Brain hem NEC-mod coma
85304,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre- existing conscious level",Brain hem NEC-proln coma
85305,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Brain hem NEC-deep coma
85306,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with loss of consciousness of unspecified duration",Brain hem NEC-coma NOS
85309,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with concussion, unspecified",Brain hem NEC-concussion
85310,"Other and unspecified intracranial hemorrhage following injury with open intracranial wound, unspecified state of consciousness ",Brain hem NEC w opn wnd
85311,"Other and unspecified intracranial hemorrhage following injury with open intracranial wound, with no loss of consciousness",Brain hem opn w/o coma
85312,"Other and unspecified intracranial hemorrhage following injury with open intracranial wound, with brief [less than one hour] loss of consciousness",Brain hem opn-brf coma
85313,"Other and unspecified intracranial hemorrhage following injury with open intracranial wound, with moderate [1-24 hours] loss of consciousness",Brain hem open-mod coma
85314,"Other and unspecified intracranial hemorrhage following injury with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Brain hem opn-proln coma
85315,"Other and unspecified intracranial hemorrhage following injury with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Brain hem open-deep coma
85316,"Other and unspecified intracranial hemorrhage following injury with open intracranial wound, with loss of consciousness of unspecified duration",Brain hem open-coma NOS
85319,"Other and unspecified intracranial hemorrhage following injury with open intracranial wound, with concussion, unspecified",Brain hem opn-concussion
85400,"Intracranial injury of other and unspecified nature without mention of open intracranial wound, unspecified state of consciousness ",Brain injury NEC
85401,"Intracranial injury of other and unspecified nature without mention of open intracranial wound, with no loss of consciousness",Brain injury NEC-no coma
85402,"Intracranial injury of other and unspecified nature without mention of open intracranial wound, with brief [less than one hour] loss of consciousness",Brain inj NEC-brief coma
85403,"Intracranial injury of other and unspecified nature without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness",Brain inj NEC-mod coma
85404,"Intracranial injury of other and unspecified nature without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Brain inj NEC-proln coma
85405,"Intracranial injury of other and unspecified nature without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Brain inj NEC-deep coma
85406,"Intracranial injury of other and unspecified nature without mention of open intracranial wound, with loss of consciousness of unspecified duration",Brain inj NEC-coma NOS
85409,"Intracranial injury of other and unspecified nature without mention of open intracranial wound, with concussion, unspecified",Brain inj NEC-concussion
85410,"Intracranial injury of other and unspecified nature with open intracranial wound, unspecified state of consciousness ",Brain injury w opn wnd
85411,"Intracranial injury of other and unspecified nature with open intracranial wound, with no loss of consciousness",Opn brain inj w/o coma
85412,"Intracranial injury of other and unspecified nature with open intracranial wound, with brief [less than one hour] loss of consciousness",Opn brain inj-brief coma
85413,"Intracranial injury of other and unspecified nature with open intracranial wound, with moderate [1-24 hours] loss of consciousness",Opn brain inj-mod coma
85414,"Intracranial injury of other and unspecified nature with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Opn brain inj-proln coma
85415,"Intracranial injury of other and unspecified nature with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Opn brain inj-deep coma
85416,"Intracranial injury of other and unspecified nature with open intracranial wound, with loss of consciousness of unspecified duration",Open brain inj-coma NOS
85419,"Intracranial injury of other and unspecified nature with open intracranial wound, with concussion, unspecified",Opn brain inj-concussion
8600,Traumatic pneumothorax without mention of open wound into thorax,Traum pneumothorax-close
8601,Traumatic pneumothorax with open wound into thorax,Traum pneumothorax-open
8602,Traumatic hemothorax without mention of open wound into thorax,Traum hemothorax-closed
8603,Traumatic hemothorax with open wound into thorax,Traum hemothorax-open
8604,Traumatic pneumohemothorax without mention of open wound into thorax,Traum pneumohemothor-cl
8605,Traumatic pneumohemothorax with open wound into thorax,Traum pneumohemothor-opn
86100,Unspecified injury of heart without mention of open wound into thorax,Heart injury NOS-closed
86101,Contusion of heart without mention of open wound into thorax,Heart contusion-closed
86102,Laceration of heart without penetration of heart chambers or without mention of open wound into thorax,Heart laceration-closed
86103,Laceration of heart with penetration of heart chambers without mention of open wound into thorax,Heart chamber lacerat-cl
86110,Unspecified injury of heart with open wound into thorax,Heart injury NOS-open
86111,Contusion of heart with open wound into thorax,Heart contusion-open
86112,"Laceration of heart without penetration of heart chambers, with open wound into thorax",Heart laceration-open
86113,Laceration of heart with penetration of heart chambers with open wound into thorax,Heart chamber lacer-opn
86120,Unspecified injury of lung without mention of open wound into thorax,Lung injury NOS-closed
86121,Contusion of lung without mention of open wound into thorax,Lung contusion-closed
86122,Laceration of lung without mention of open wound into thorax,Lung laceration-closed
86130,Unspecified injury of lung with open wound into thorax,Lung injury NOS-open
86131,Contusion of lung with open wound into thorax,Lung contusion-open
86132,Laceration of lung with open wound into thorax,Lung laceration-open
8620,"Injury to diaphragm, without mention of open wound into cavity",Diaphragm injury-closed
8621,"Injury to diaphragm, with open wound into cavity",Diaphragm injury-open
86221,Injury to bronchus without mention of open wound into cavity,Bronchus injury-closed
86222,Injury to esophagus without mention of open wound into cavity,Esophagus injury-closed
86229,Injury to other specified intrathoracic organs without mention of open wound into cavity,Intrathoracic inj NEC-cl
